"Variables","Importance","Boruta1","Boruta2"
"X4.74_482.1419n",0.02,0,0
"X3.01_314.0075m.z",0.05,0,0
"X3.00_223.0842n",0.05,0,0
"X2.92_341.9955m.z",0.14,0,1
"X2.94_114.0908m.z",0.03,0,0
"X3.18_334.2102m.z",0.03,0,0
"X3.07_182.0810m.z",0.04,0,0
"X2.79_335.1565m.z",0.02,0,0
"X2.73_502.0748m.z",0.06,0,0
"X2.88_557.2230m.z",0.05,0,0
"X2.79_960.4482m.z",0.04,0,0
"X2.84_205.1537m.z",0,0,0
"X2.84_304.0491m.z",0.24,0,1
"X3.56_318.9852m.z",0.03,0,0
"X3.53_382.1770m.z",0.06,0,0
"X3.70_325.1268m.z",0.08,0,0
"X3.62_569.2382m.z",0.01,0,0
"X3.33_356.1920m.z",0.01,0,0
"X3.45_151.1114m.z",0.06,0,0
"X3.45_260.0602m.z",0.03,0,0
"X3.35_342.2371m.z",0.28,1,1
"X3.38_218.1370m.z",0.06,0,0
"X3.41_192.0398n",0,0,0
"X7.55_381.1326m.z",0.14,0,1
"X7.58_406.1954n",0.01,0,0
"X7.36_612.3144m.z",0.01,0,0
"X7.44_406.2041m.z",0.07,0,0
"X7.87_315.1336m.z",0.03,0,0
"X7.91_382.2576m.z",0,0,0
"X7.91_466.1970m.z",0.04,0,0
"X7.69_316.2475m.z",0.06,0,0
"X7.78_358.4053m.z",0.03,0,0
"X7.76_577.2313m.z",0.08,0,0
"X6.88_382.0828m.z",0.03,0,0
"X6.88_692.3437m.z",0.05,0,0
"X6.88_223.1186n",0.07,0,0
"X6.96_693.4261m.z",0,0,0
"X6.96_302.5679m.z",0.02,0,0
"X6.96_302.5025m.z",0.03,0,0
"X6.96_302.3685m.z",0.03,0,0
"X6.97_401.2714m.z",0.11,0,0
"X6.76_326.3361m.z",0.07,0,0
"X6.75_165.0902m.z",0.29,0,1
"X6.76_183.1022m.z",0.38,1,1
"X6.76_266.1154n",0.04,0,0
"X7.20_237.1845m.z",0.02,0,0
"X7.16_652.3926n",0.02,0,0
"X7.28_332.1474m.z",0.04,0,0
"X7.26_437.1806m.z",0.02,0,0
